# NSAID zone depth edge out
5 1036 0 1 0
12 1036 0 1 0
16 433 3 0 0
18 1036 0 1 0
19 1036 0 1 0
24 1036 0 1 0
32 1036 0 1 0
40 1036 0 1 0
42 1036 0 1 0
55 1036 0 1 0
75 1036 0 1 0
76 1036 0 1 0
78 566 6 0 0
92 861 1 0 0
93 283 2 0 0
94 861 1 0 0
95 283 1 0 0
96 1036 0 1 0
99 1036 0 1 0
106 1036 0 1 0
109 876 1 0 0
121 1036 0 1 0
123 1036 0 1 0
124 1036 0 1 0
127 1036 0 1 0
130 1036 0 1 0
136 876 1 0 0
137 1036 0 1 0
144 1036 0 1 0
159 861 1 0 0
161 861 2 0 0
162 861 1 0 0
165 876 2 0 0
166 861 1 0 0
175 1036 0 1 0
179 861 2 0 0
186 876 1 0 0
194 1036 0 1 0
196 433 1 0 0
197 325 2 0 0
202 325 1 0 0
207 1036 0 1 0
208 433 3 0 0
209 566 5 0 0
210 433 2 0 0
212 283 2 0 0
217 1036 0 1 0
225 391 1 0 0
257 1036 0 1 0
291 1036 0 1 0
296 1036 0 1 0
300 1036 0 1 0
304 433 3 0 0
306 283 2 0 0
317 861 2 0 0
319 283 2 0 0
320 433 4 0 0
322 861 1 0 0
324 433 4 0 0
326 433 3 0 0
333 404 5 0 0
335 433 2 0 0
341 566 6 0 0
343 876 0 0 0
344 566 5 0 0
352 876 2 0 0
353 433 2 0 0
355 433 4 0 0
359 1036 0 1 0
361 1036 0 1 0
366 1036 0 1 0
370 350 4 0 0
372 350 4 0 0
373 350 4 0 0
374 350 3 0 0
375 1036 0 1 0
376 1036 0 1 0
377 350 2 0 0
378 350 4 0 0
381 861 3 0 0
382 566 2 0 0
384 350 2 0 0
393 1036 0 1 0
394 1036 0 1 0
398 350 5 0 0
399 1036 0 1 0
402 861 3 0 0
405 350 3 0 0
406 876 3 0 0
410 350 2 0 0
412 1036 0 1 0
415 1036 0 1 0
419 1036 0 1 0
422 1036 0 1 0
425 289 1 0 0
426 1036 0 1 0
427 1036 0 1 0
432 350 3 0 0
435 350 2 0 0
437 350 3 0 0
438 350 2 0 0
441 350 3 0 0
453 1036 0 1 0
460 861 3 0 0
464 876 2 0 0
466 350 2 0 0
468 289 0 0 0
473 289 1 0 0
474 1036 0 1 0
475 350 2 0 0
478 1036 0 1 0
485 433 3 0 0
489 861 3 0 0
490 433 3 0 0
491 1036 0 1 0
495 1036 0 1 0
499 1036 0 1 0
505 1036 0 1 0
506 433 3 0 0
509 1036 0 1 0
520 1036 0 1 0
523 1036 0 1 0
524 1036 0 1 0
527 1036 0 1 0
528 1036 0 1 0
529 1036 0 1 0
530 1036 0 1 0
531 861 3 0 0
534 861 3 0 0
535 1036 0 1 0
536 1036 0 1 0
540 1036 0 1 0
541 1036 0 1 0
551 433 4 0 0
558 876 2 0 0
567 1036 0 1 0
569 1036 0 1 0
570 876 1 0 0
572 876 2 0 0
575 433 2 0 0
576 876 2 0 0
591 404 5 0 0
596 566 4 0 0
598 876 1 0 0
605 861 3 0 0
609 350 3 0 0
611 861 3 0 0
613 861 2 0 0
614 198 5 0 0
625 283 3 0 0
626 404 5 0 0
632 861 3 0 0
638 350 3 0 0
640 1036 0 1 0
643 861 2 0 0
646 861 3 0 0
653 433 3 0 0
654 350 3 0 0
660 876 1 0 0
661 1036 0 1 0
664 876 2 0 0
672 198 4 0 0
673 1036 0 1 0
674 566 3 0 0
675 557 1 0 0
676 876 1 0 0
678 433 2 0 0
679 198 5 0 0
682 557 2 0 0
683 557 2 0 0
685 861 3 0 0
692 1036 0 1 0
695 433 2 0 0
699 404 5 0 0
700 350 2 0 0
702 876 2 0 0
703 876 1 0 0
707 876 1 0 0
708 876 3 0 0
709 876 3 0 0
711 198 6 0 0
712 1036 0 1 0
714 876 1 0 0
726 350 2 0 0
728 350 3 0 0
730 404 5 0 0
733 350 3 0 0
734 566 2 0 0
741 876 2 0 0
748 350 2 0 0
749 566 4 0 0
753 1036 0 1 0
757 350 3 0 0
758 198 6 0 0
759 1036 0 1 0
760 350 6 0 0
762 1036 0 1 0
763 1036 0 1 0
765 350 3 0 0
766 350 2 0 0
774 1036 0 1 0
776 1036 0 1 0
778 1036 0 1 0
780 1036 0 1 0
783 1036 0 1 0
784 350 5 0 0
786 350 2 0 0
788 1036 0 1 0
791 876 3 0 0
794 350 5 0 0
796 350 3 0 0
797 350 4 0 0
800 1036 0 1 0
801 1036 0 1 0
803 1036 0 1 0
804 1036 0 1 0
807 1036 0 1 0
808 1036 0 1 0
810 1036 0 1 0
812 350 4 0 0
813 350 2 0 0
814 1036 0 1 0
816 350 4 0 0
817 1036 0 1 0
819 350 3 0 0
821 350 2 0 0
822 350 5 0 0
823 566 2 0 0
824 198 5 0 0
825 716 1 0 0
837 350 3 0 0
838 1036 0 1 0
839 1036 0 1 0
841 1036 0 1 0
844 350 3 0 0
850 1036 0 1 0
852 1036 0 1 0
854 289 1 0 0
860 1036 0 1 0
864 1036 0 1 0
865 1036 0 1 0
867 557 3 0 0
871 1036 0 1 0
873 1036 0 1 0
874 1036 0 1 0
875 1036 0 1 0
876 1036 0 1 0
881 350 2 0 0
885 350 4 0 0
886 350 3 0 0
887 350 3 0 0
893 1036 0 1 0
894 350 4 0 0
895 1036 0 1 0
897 1036 0 1 0
898 350 4 0 0
899 350 4 0 0
921 350 3 0 0
922 350 4 0 0
923 350 3 0 0
925 350 3 0 0
929 350 4 0 0
931 566 2 0 0
937 1036 0 1 0
941 1036 0 1 0
942 1036 0 1 0
943 861 3 0 0
944 566 3 0 0
945 1036 0 1 0
947 433 5 0 0
948 1036 0 1 0
950 350 2 0 0
951 350 3 0 0
952 350 2 0 0
953 1036 0 1 0
954 350 2 0 0
956 566 4 0 0
960 404 5 0 0
963 198 6 0 0
964 350 2 0 0
970 350 2 0 0
972 433 4 0 0
976 198 5 0 0
979 198 5 0 0
980 433 3 0 0
984 198 5 0 0
985 566 1 0 0
986 861 3 0 0
987 566 2 0 0
988 289 2 0 0
989 566 5 0 0
999 876 2 0 0
1000 566 3 0 0
1003 289 1 0 0
1009 566 4 0 0
1013 566 2 0 0
1017 566 2 0 0
1018 350 2 0 0
1019 433 3 0 0
1020 350 2 0 0
1021 350 2 0 0
1031 350 2 0 0
1036 566 4 0 0
1038 433 3 0 0
1041 350 2 0 0
1042 566 3 0 0
1058 350 2 0 0
1059 50 3 0 0
1069 566 2 0 0
1070 143 2 0 0
1072 198 5 0 0
1074 350 4 0 0
1083 350 4 0 0
1090 433 3 0 0
1093 1036 0 1 0
1098 566 2 0 0
1100 1036 0 1 0
1103 198 5 0 0
1104 350 3 0 0
1114 143 2 0 0
1116 350 1 0 0
1118 350 1 0 0
1119 350 2 0 0
1120 143 2 0 0
1121 143 2 0 0
1122 350 1 0 0
1133 716 0 0 0
1134 350 4 0 0
1137 350 4 0 0
1139 350 4 0 0
1143 876 3 0 0
1148 687 3 0 0
1161 50 4 0 0
1164 350 4 0 0
1165 598 2 0 0
1168 1036 0 1 0
1169 1036 0 1 0
1172 1036 0 1 0
1176 598 3 0 0
1177 1036 0 1 0
1179 687 8 0 0
1180 557 2 0 0
1181 1036 0 1 0
1182 687 8 0 0
1183 1036 0 1 0
1184 566 2 0 0
1187 687 6 0 0
1188 687 7 0 0
1197 687 6 0 0
1198 350 7 0 0
1199 350 5 0 0
