# NSAID zone depth edge out
5 1035 0 1 0
12 1035 0 1 0
16 433 3 0 0
18 1035 0 1 0
19 1035 0 1 0
24 1035 0 1 0
32 1035 0 1 0
40 1035 0 1 0
42 1035 0 1 0
55 1035 0 1 0
75 1035 0 1 0
76 1035 0 1 0
78 566 6 0 0
92 858 1 0 0
93 285 2 0 0
94 858 1 0 0
95 285 1 0 0
96 1035 0 1 0
99 1035 0 1 0
106 1035 0 1 0
109 877 1 0 0
121 1035 0 1 0
123 1035 0 1 0
124 1035 0 1 0
127 1035 0 1 0
130 1035 0 1 0
136 877 1 0 0
137 1035 0 1 0
144 1035 0 1 0
159 858 1 0 0
161 858 2 0 0
162 858 1 0 0
165 877 2 0 0
166 858 1 0 0
175 1035 0 1 0
179 858 2 0 0
186 877 1 0 0
194 1035 0 1 0
196 433 1 0 0
197 324 2 0 0
202 324 1 0 0
207 1035 0 1 0
208 433 3 0 0
209 566 5 0 0
210 433 2 0 0
212 285 2 0 0
217 1035 0 1 0
225 398 1 0 0
257 1035 0 1 0
291 1035 0 1 0
296 1035 0 1 0
300 1035 0 1 0
304 433 3 0 0
306 285 2 0 0
317 858 2 0 0
319 285 2 0 0
320 433 4 0 0
322 858 1 0 0
324 433 4 0 0
326 433 3 0 0
333 406 5 0 0
335 433 2 0 0
341 566 6 0 0
343 877 0 0 0
344 566 5 0 0
352 877 3 0 0
353 433 2 0 0
355 433 4 0 0
359 1035 0 1 0
361 1035 0 1 0
366 1035 0 1 0
370 350 4 0 0
372 350 4 0 0
373 350 4 0 0
374 350 3 0 0
375 1035 0 1 0
376 1035 0 1 0
377 350 2 0 0
378 350 4 0 0
381 858 3 0 0
382 566 2 0 0
384 350 2 0 0
393 1035 0 1 0
394 1035 0 1 0
398 350 5 0 0
399 1035 0 1 0
402 858 3 0 0
405 350 3 0 0
406 877 3 0 0
410 350 2 0 0
412 1035 0 1 0
415 1035 0 1 0
419 1035 0 1 0
422 1035 0 1 0
425 290 1 0 0
426 1035 0 1 0
427 1035 0 1 0
432 350 3 0 0
435 350 2 0 0
437 350 3 0 0
438 350 2 0 0
441 350 3 0 0
453 1035 0 1 0
460 858 3 0 0
464 877 2 0 0
466 350 2 0 0
468 290 0 0 0
473 290 1 0 0
474 1035 0 1 0
475 350 2 0 0
478 1035 0 1 0
485 433 3 0 0
489 858 3 0 0
490 433 3 0 0
491 1035 0 1 0
495 1035 0 1 0
499 1035 0 1 0
505 1035 0 1 0
506 433 3 0 0
509 1035 0 1 0
520 1035 0 1 0
523 1035 0 1 0
524 1035 0 1 0
527 1035 0 1 0
528 1035 0 1 0
529 1035 0 1 0
530 1035 0 1 0
531 858 3 0 0
534 858 3 0 0
535 1035 0 1 0
536 1035 0 1 0
540 1035 0 1 0
541 1035 0 1 0
551 433 4 0 0
558 877 3 0 0
567 1035 0 1 0
569 1035 0 1 0
570 877 1 0 0
572 877 3 0 0
575 433 2 0 0
576 877 2 0 0
591 406 5 0 0
596 566 4 0 0
598 877 1 0 0
605 858 3 0 0
609 350 3 0 0
611 858 3 0 0
613 858 2 0 0
614 198 5 0 0
625 285 3 0 0
626 406 5 0 0
632 858 3 0 0
638 350 3 0 0
640 1035 0 1 0
643 858 2 0 0
646 858 3 0 0
653 433 3 0 0
654 350 3 0 0
660 877 1 0 0
661 1035 0 1 0
664 877 2 0 0
672 198 4 0 0
673 1035 0 1 0
674 566 3 0 0
675 559 1 0 0
676 877 1 0 0
678 433 2 0 0
679 198 5 0 0
682 559 2 0 0
683 559 2 0 0
685 858 3 0 0
692 1035 0 1 0
695 433 2 0 0
699 406 5 0 0
700 350 2 0 0
702 877 2 0 0
703 877 1 0 0
707 877 1 0 0
708 877 3 0 0
709 877 3 0 0
711 198 5 0 0
712 1035 0 1 0
714 877 1 0 0
726 350 2 0 0
728 350 3 0 0
730 406 5 0 0
733 350 3 0 0
734 566 2 0 0
741 877 2 0 0
748 350 2 0 0
749 566 4 0 0
753 1035 0 1 0
757 350 3 0 0
758 198 6 0 0
759 1035 0 1 0
760 350 6 0 0
762 1035 0 1 0
763 1035 0 1 0
765 350 3 0 0
766 350 2 0 0
774 1035 0 1 0
776 1035 0 1 0
778 1035 0 1 0
780 1035 0 1 0
783 1035 0 1 0
784 350 5 0 0
786 350 2 0 0
788 1035 0 1 0
791 877 3 0 0
794 350 5 0 0
796 350 3 0 0
797 350 4 0 0
800 1035 0 1 0
801 1035 0 1 0
803 1035 0 1 0
804 1035 0 1 0
807 1035 0 1 0
808 1035 0 1 0
810 1035 0 1 0
812 350 4 0 0
813 350 2 0 0
814 1035 0 1 0
816 350 4 0 0
817 1035 0 1 0
819 350 3 0 0
821 350 2 0 0
822 350 5 0 0
823 566 2 0 0
824 198 5 0 0
825 713 1 0 0
837 350 3 0 0
838 1035 0 1 0
839 1035 0 1 0
841 1035 0 1 0
844 350 3 0 0
850 1035 0 1 0
852 1035 0 1 0
854 290 1 0 0
860 1035 0 1 0
864 1035 0 1 0
865 1035 0 1 0
867 559 3 0 0
871 1035 0 1 0
873 1035 0 1 0
874 1035 0 1 0
875 1035 0 1 0
876 1035 0 1 0
881 350 2 0 0
885 350 4 0 0
886 350 3 0 0
887 350 3 0 0
893 1035 0 1 0
894 350 4 0 0
895 1035 0 1 0
897 1035 0 1 0
898 350 4 0 0
899 350 4 0 0
921 350 3 0 0
922 350 4 0 0
923 350 3 0 0
925 350 3 0 0
929 350 4 0 0
931 566 2 0 0
937 1035 0 1 0
941 1035 0 1 0
942 1035 0 1 0
943 858 3 0 0
944 566 3 0 0
945 1035 0 1 0
947 433 5 0 0
948 1035 0 1 0
950 350 2 0 0
951 350 3 0 0
952 350 2 0 0
953 1035 0 1 0
954 350 2 0 0
956 566 4 0 0
960 406 5 0 0
963 198 6 0 0
964 350 2 0 0
970 350 2 0 0
972 433 4 0 0
976 198 5 0 0
979 198 5 0 0
980 433 3 0 0
984 198 5 0 0
985 566 1 0 0
986 858 3 0 0
987 566 2 0 0
988 290 2 0 0
989 566 5 0 0
999 877 2 0 0
1000 566 3 0 0
1003 290 1 0 0
1009 566 4 0 0
1013 566 2 0 0
1017 566 2 0 0
1018 350 2 0 0
1019 433 3 0 0
1020 350 2 0 0
1021 350 2 0 0
1031 350 2 0 0
1036 566 4 0 0
1038 433 3 0 0
1041 350 2 0 0
1042 566 3 0 0
1058 350 2 0 0
1059 52 3 0 0
1069 566 2 0 0
1070 143 2 0 0
1072 198 5 0 0
1074 350 4 0 0
1083 350 4 0 0
1090 433 3 0 0
1093 1035 0 1 0
1098 566 2 0 0
1100 1035 0 1 0
1103 198 5 0 0
1104 350 3 0 0
1114 143 2 0 0
1116 350 1 0 0
1118 350 1 0 0
1119 350 2 0 0
1120 143 2 0 0
1121 143 2 0 0
1122 350 1 0 0
1133 713 0 0 0
1134 350 4 0 0
1137 350 4 0 0
1139 350 4 0 0
1143 877 3 0 0
1148 684 3 0 0
1161 52 4 0 0
1164 350 4 0 0
1165 597 2 0 0
1168 1035 0 1 0
1169 1035 0 1 0
1172 1035 0 1 0
1176 597 3 0 0
1177 1035 0 1 0
1179 684 8 0 0
1180 559 2 0 0
1181 1035 0 1 0
1182 684 8 0 0
1183 1035 0 1 0
1184 566 2 0 0
1187 684 6 0 0
1188 684 7 0 0
1197 684 6 0 0
1198 350 7 0 0
1199 350 5 0 0
1200 566 1 0 0
1202 1035 0 1 0
1204 350 7 0 0
1206 350 5 0 0
1207 1035 0 1 0
1215 1035 0 1 0
1216 1035 0 1 0
1217 1035 0 1 0
1218 1035 0 1 0
1220 1035 0 1 0
1221 684 6 0 0
1226 1035 0 1 0
1227 1035 0 1 0
1231 1035 0 1 0
1234 1035 0 1 0
1239 350 8 0 0
1242 684 8 0 0
1247 350 5 0 0
1249 684 8 0 0
1250 350 6 0 0
1252 1035 0 1 0
1254 1035 0 1 0
1255 566 2 0 0
1259 1035 0 1 0
1261 1035 0 1 0
1264 684 7 0 0
1265 350 5 0 0
1272 350 7 0 0
1273 1035 0 1 0
1274 1035 0 1 0
1278 877 4 0 0
1279 350 5 0 0
1280 566 2 0 0
1282 566 2 0 0
1283 198 6 0 0
1285 1035 0 1 0
1286 566 2 0 0
1306 1035 0 1 0
1307 1035 0 1 0
1310 350 6 0 0
1312 350 6 0 0
1313 1035 0 1 0
1330 1035 0 1 0
1334 350 6 0 0
1337 1035 0 1 0
1338 1035 0 1 0
1339 350 4 0 0
1340 198 5 0 0
1352 684 6 0 0
1354 350 3 0 0
1357 52 4 0 0
1368 1035 0 1 0
1370 684 6 0 0
1378 350 2 0 0
1380 350 4 0 0
1382 684 7 0 0
1383 566 1 0 0
1385 350 3 0 0
1393 350 1 0 0
1402 684 3 0 0
1404 684 3 0 0
1417 350 4 0 0
1432 795 2 0 0
1447 566 2 0 0
1449 566 1 0 0
1464 684 5 0 0
1465 350 5 0 0
1471 684 3 0 0
1472 684 2 0 0
1473 684 3 0 0
1475 684 6 0 0
1476 684 3 0 0
1477 684 3 0 0
1478 350 4 0 0
1493 350 4 0 0
1494 684 6 0 0
1501 350 4 0 0
1503 684 3 0 0
1505 350 4 0 0
1507 22 6 0 0
1514 350 4 0 0
1526 1035 0 1 0
1538 1035 0 1 0
1539 1035 0 1 0
1541 350 6 0 0
1542 1035 0 1 0
1549 684 6 0 0
1559 1035 0 1 0
1566 1035 0 1 0
1569 1035 0 1 0
1570 684 5 0 0
1571 22 4 0 0
1574 1035 0 1 0
1576 684 3 0 0
1600 350 4 0 0
1601 684 5 0 0
1602 350 3 0 0
1604 1035 0 1 0
1606 1035 0 1 0
1611 1035 0 1 0
1643 1035 0 1 0
1644 1035 0 1 0
1645 1035 0 1 0
1646 1035 0 1 0
1647 566 1 0 0
1649 684 5 0 0
1650 1035 0 1 0
1651 597 3 0 0
1658 1035 0 1 0
1666 1035 0 1 0
1668 597 4 0 0
1669 597 3 0 0
1671 566 2 0 0
1672 1035 0 1 0
1673 1035 0 1 0
1674 350 6 0 0
1679 1035 0 1 0
1683 1035 0 1 0
1685 1035 0 1 0
1686 1035 0 1 0
1691 1035 0 1 0
1695 350 7 0 0
1708 1035 0 1 0
1715 1035 0 1 0
1716 684 6 0 0
1722 559 3 0 0
1732 684 7 0 0
1739 684 3 0 0
1741 684 3 0 0
1742 684 6 0 0
1743 350 5 0 0
1745 684 3 0 0
1748 350 5 0 0
1750 350 5 0 0
1751 350 6 0 0
1752 684 5 0 0
1753 684 6 0 0
1754 22 6 0 0
1755 22 6 0 0
1760 684 5 0 0
1762 684 5 0 0
1765 566 1 0 0
1768 350 6 0 0
1770 350 7 0 0
1771 22 6 0 0
1775 22 6 0 0
1777 22 5 0 0
1780 22 5 0 0
1783 350 5 0 0
1784 1035 0 1 0
1786 684 5 0 0
1788 684 4 0 0
1791 350 4 0 0
1792 350 6 0 0
1812 350 4 0 0
1816 350 2 0 0
1819 684 2 0 0
1821 450 2 0 0
1823 684 2 0 0
1832 597 3 0 0
1833 713 1 0 0
1834 350 5 0 0
1837 22 3 0 0
1838 350 5 0 0
1840 684 4 0 0
1841 350 2 0 0
1845 713 1 0 0
1847 684 3 0 0
1849 566 2 0 0
1856 566 1 0 0
1857 684 4 0 0
1858 22 4 0 0
1860 713 2 0 0
1864 684 3 0 0
1872 350 2 0 0
1873 143 2 0 0
1876 350 2 0 0
1878 1035 0 1 0
1880 1035 0 1 0
1882 1035 0 1 0
1885 1035 0 1 0
1888 1035 0 1 0
1889 1035 0 1 0
1891 1035 0 1 0
1892 1035 0 1 0
1893 22 5 0 0
1894 1035 0 1 0
1895 566 3 0 0
1897 143 3 0 0
1898 1035 0 1 0
1900 597 2 0 0
1905 1035 0 1 0
1908 1035 0 1 0
1909 22 7 0 0
